Patient_County_Code,Admission_Start_Care_Date,RESP
62,20151026,20
58,20151027,59
59,20151027,60
60,20151027,23
61,20151027,42
62,20151027,16
58,20151028,54
59,20151028,53
60,20151028,23
61,20151028,40
62,20151028,12
58,20151029,50
59,20151029,48
60,20151029,32
61,20151029,49
62,20151029,15
58,20151030,59
59,20151030,55
60,20151030,24
61,20151030,31
62,20151030,13
58,20151031,40
59,20151031,39
60,20151031,26
61,20151031,41
62,20151031,8
58,20151101,54
59,20151101,31
60,20151101,23
61,20151101,32
62,20151101,11
58,20151102,61
59,20151102,57
60,20151102,31
61,20151102,55
62,20151102,14
58,20151103,61
59,20151103,83
60,20151103,37
61,20151103,43
62,20151103,10
58,20151104,58
59,20151104,59
60,20151104,32
61,20151104,40
62,20151104,12
58,20151105,54
59,20151105,47
60,20151105,31
61,20151105,48
62,20151105,12
58,20151106,38
59,20151106,54
60,20151106,25
61,20151106,64
62,20151106,10
58,20151107,45
59,20151107,45
60,20151107,23
61,20151107,40
62,20151107,14
58,20151108,46
59,20151108,34
60,20151108,15
61,20151108,31
62,20151108,9
58,20151109,49
59,20151109,66
60,20151109,31
61,20151109,51
62,20151109,14
58,20151110,64
59,20151110,53
60,20151110,15
61,20151110,35
62,20151110,14
58,20151111,47
59,20151111,56
60,20151111,37
61,20151111,40
62,20151111,10
58,20151112,50
59,20151112,50
60,20151112,28
61,20151112,39
62,20151112,12
58,20151113,44
59,20151113,45
60,20151113,29
61,20151113,37
62,20151113,9
58,20151114,51
59,20151114,54
60,20151114,25
61,20151114,31
62,20151114,8
58,20151115,53
59,20151115,41
60,20151115,18
61,20151115,51
62,20151115,4
58,20151116,68
59,20151116,59
60,20151116,34
61,20151116,62
62,20151116,11
58,20151117,47
59,20151117,65
60,20151117,34
61,20151117,43
62,20151117,12
58,20151118,47
59,20151118,51
60,20151118,37
61,20151118,33
62,20151118,15
58,20151119,50
59,20151119,52
60,20151119,25
61,20151119,46
62,20151119,16
58,20151120,51
59,20151120,51
60,20151120,35
61,20151120,34
62,20151120,9
58,20151121,41
59,20151121,53
60,20151121,22
61,20151121,38
62,20151121,10
58,20151122,57
59,20151122,42
60,20151122,18
61,20151122,34
62,20151122,13
58,20151123,63
59,20151123,65
60,20151123,25
61,20151123,52
62,20151123,11
58,20151124,59
59,20151124,54
60,20151124,30
61,20151124,34
62,20151124,9
58,20151125,37
59,20151125,42
60,20151125,32
61,20151125,32
62,20151125,7
58,20151126,44
59,20151126,48
60,20151126,23
61,20151126,33
62,20151126,6
58,20151127,56
59,20151127,68
60,20151127,35
61,20151127,49
62,20151127,11
58,20151128,55
59,20151128,59
60,20151128,18
61,20151128,50
62,20151128,6
58,20151129,49
59,20151129,42
60,20151129,23
61,20151129,47
62,20151129,10
58,20151130,69
59,20151130,68
60,20151130,31
61,20151130,49
62,20151130,12
58,20151201,66
59,20151201,71
60,20151201,33
61,20151201,58
62,20151201,14
58,20151202,62
59,20151202,65
60,20151202,31
61,20151202,46
62,20151202,12
58,20151203,69
59,20151203,55
60,20151203,25
61,20151203,46
62,20151203,13
58,20151204,52
59,20151204,67
60,20151204,32
61,20151204,39
62,20151204,13
58,20151205,53
59,20151205,52
60,20151205,28
61,20151205,30
62,20151205,12
58,20151206,62
59,20151206,52
60,20151206,30
61,20151206,34
62,20151206,6
58,20151207,78
59,20151207,56
60,20151207,42
61,20151207,43
62,20151207,15
58,20151208,69
59,20151208,68
60,20151208,30
61,20151208,60
62,20151208,16
58,20151209,70
59,20151209,57
60,20151209,43
61,20151209,48
62,20151209,9
58,20151210,65
59,20151210,63
60,20151210,38
61,20151210,63
62,20151210,11
58,20151211,57
59,20151211,66
60,20151211,31
61,20151211,55
62,20151211,14
58,20151212,50
59,20151212,49
60,20151212,28
61,20151212,45
62,20151212,5
